simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk
206,李传别宅,海天堂构,130,30,False,130,30,False
207,海天堂构,黄荣远堂,40,10,False,40,10,False
208,许家园,李传别宅,130,60,False,130,60,False
209,协和礼拜堂,李传别宅,90,520,True,170,20,False
210,福建路中段,仰高别墅,130,400,True,130,400,True
211,仰高别墅,协和礼拜堂,280,950,True,360,450,True
212,李传别宅,福建路中段,60,30,False,60,30,False
213,黄荣远堂,海天堂构,40,10,False,40,10,False
214,天主堂,轮渡码头入口,120,500,True,140,0,False
215,天主堂,鹿礁路口,70,500,True,90,0,False
216,福建路中段,李传别宅,60,30,False,60,30,False
217,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
218,协和礼拜堂,鹿礁路口,30,0,False,30,0,False
219,李传别宅,协和礼拜堂,90,520,True,170,20,False
220,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
221,轮渡码头入口,鹿礁路口,50,0,False,50,0,False
222,海天堂构,仰高别墅,60,400,True,60,400,True
223,鹿礁路口,协和礼拜堂,30,0,False,30,0,False
224,福建路中段,黄荣远堂,40,20,False,40,20,False
225,仰高别墅,李传别宅,190,430,True,190,430,True
226,福建路中段,海天堂构,70,0,False,70,0,False
227,轮渡码头入口,李传别宅,170,520,True,190,20,False
228,鹿礁路口,仰高别墅,310,950,True,330,450,True
229,仰高别墅,鹿礁路口,310,950,True,330,450,True
230,海天堂构,福建路中段,70,0,False,70,0,False
231,仰高别墅,鹿礁路口,310,950,True,330,450,True
232,福建路中段,仰高别墅,130,400,True,130,400,True
233,鹿礁路口,福建路中段,180,550,True,200,50,False
234,李传别宅,天主堂,50,20,False,50,20,False
235,许家园,海天堂构,70,20,False,70,20,False
236,协和礼拜堂,李传别宅,90,520,True,170,20,False
237,福建路中段,协和礼拜堂,150,550,True,230,50,False
238,仰高别墅,鹿礁路口,310,950,True,330,450,True
239,协和礼拜堂,轮渡码头入口,80,0,False,80,0,False
240,海天堂构,轮渡码头入口,300,550,True,320,50,False
241,天主堂,协和礼拜堂,40,500,True,120,0,False
242,轮渡码头入口,天主堂,120,500,True,140,0,False
243,黄荣远堂,许家园,30,10,False,30,10,False
244,福建路中段,许家园,70,30,False,70,30,False
